Time[S],Range,Func1,Meas1,Func2,Meas2
    1,A:5 V     ,VOLT      ,1.21851   ,          ,          
    2,A:5 V     ,VOLT      ,1.218543  ,          ,          
    3,A:5 V     ,VOLT      ,1.218559  ,          ,          
    4,A:5 V     ,VOLT      ,1.218596  ,          ,          
    5,A:5 V     ,VOLT      ,1.218628  ,          ,          
    6,A:5 V     ,VOLT      ,1.218638  ,          ,          
    7,A:5 V     ,VOLT      ,1.218701  ,          ,          
    8,A:5 V     ,VOLT      ,1.218727  ,          ,          
    9,A:5 V     ,VOLT      ,1.218743  ,          ,          
   10,A:5 V     ,VOLT      ,1.218776  ,          ,          
   11,A:5 V     ,VOLT      ,1.218809  ,          ,          
   12,A:5 V     ,VOLT      ,1.218801  ,          ,          
   13,A:5 V     ,VOLT      ,1.2188    ,          ,          
   14,A:5 V     ,VOLT      ,1.218837  ,          ,          
   15,A:5 V     ,VOLT      ,1.218849  ,          ,          
   16,A:5 V     ,VOLT      ,1.218862  ,          ,          
   17,A:5 V     ,VOLT      ,1.218881  ,          ,          
   18,A:5 V     ,VOLT      ,1.218936  ,          ,          
   19,A:5 V     ,VOLT      ,1.218955  ,          ,          
   20,A:5 V     ,VOLT      ,1.218942  ,          ,          
   21,A:5 V     ,VOLT      ,1.218958  ,          ,          
   22,A:5 V     ,VOLT      ,1.218946  ,          ,          
   23,A:5 V     ,VOLT      ,1.218997  ,          ,          
   24,A:5 V     ,VOLT      ,1.293098  ,          ,          
   25,A:5 V     ,VOLT      ,1.417498  ,          ,          
   26,A:5 V     ,VOLT      ,1.586682  ,          ,          
   27,A:5 V     ,VOLT      ,1.818607  ,          ,          
   28,A:5 V     ,VOLT      ,2.03015   ,          ,          
   29,A:5 V     ,VOLT      ,2.189652  ,          ,          
   30,A:5 V     ,VOLT      ,2.360247  ,          ,          
   31,A:5 V     ,VOLT      ,2.519177  ,          ,          
   32,A:5 V     ,VOLT      ,2.664847  ,          ,          
   33,A:5 V     ,VOLT      ,2.665385  ,          ,          
   34,A:5 V     ,VOLT      ,2.665427  ,          ,          
   35,A:5 V     ,VOLT      ,2.665437  ,          ,          
   36,A:5 V     ,VOLT      ,2.665449  ,          ,          
   37,A:5 V     ,VOLT      ,2.665451  ,          ,          
   38,A:5 V     ,VOLT      ,2.665482  ,          ,          
   39,A:5 V     ,VOLT      ,2.665472  ,          ,          
   40,A:5 V     ,VOLT      ,2.608808  ,          ,          
   41,A:5 V     ,VOLT      ,1.421817  ,          ,          
   42,A:5 V     ,VOLT      ,0.3888978 ,          ,          
   43,A:5 V     ,VOLT      ,0.1150255 ,          ,          
   44,A:5 V     ,VOLT      ,0.0297774 ,          ,          
   45,A:5 V     ,VOLT      ,0.0008703346,          ,          
   46,A:5 V     ,VOLT      ,-0.007744198,          ,          
   47,A:5 V     ,VOLT      ,-0.01048271,          ,          
   48,A:5 V     ,VOLT      ,-0.01192189,          ,          
   49,A:5 V     ,VOLT      ,-0.01263618,          ,          
   50,A:5 V     ,VOLT      ,-0.01306401,          ,          
   51,A:5 V     ,VOLT      ,-0.01336149,          ,          
