Time,DMM_Meas1,Stimulus_Value,Stimulus_Step
2026-01-22 11:23:25.823,1.0,1000.0,1
2026-01-22 11:23:26.334,0.0007234,1100.0,2
2026-01-22 11:23:26.851,0.0007295,1200.0,3
2026-01-22 11:23:27.368,0.0007197,1300.0,4
2026-01-22 11:23:27.883,0.0007229,1400.0,5
2026-01-22 11:23:28.399,0.0007255,1500.0,6
2026-01-22 11:23:28.915,0.0007224,1600.0,7
2026-01-22 11:23:29.436,0.000717,1700.0,8
2026-01-22 11:23:29.949,0.0007283,1800.0,9
2026-01-22 11:23:30.481,0.0007218,1900.0,10
2026-01-22 11:23:30.997,0.0007308,2000.0,11
2026-01-22 11:23:31.537,0.000731,2100.0,12
2026-01-22 11:23:32.051,0.0007326,2200.0,13
2026-01-22 11:23:32.579,0.0007266,2300.0,14
2026-01-22 11:23:33.091,0.0007266,2400.0,15
2026-01-22 11:23:33.603,0.0007277,2500.0,16
2026-01-22 11:23:34.114,0.0007241,2600.0,17
2026-01-22 11:23:34.630,0.0007302,2700.0,18
2026-01-22 11:23:35.145,0.0007238,2800.0,19
2026-01-22 11:23:35.664,0.0007173,2900.0,20
2026-01-22 11:23:36.181,0.000722,3000.0,21
2026-01-22 11:23:36.695,0.0007192,3100.0,22
2026-01-22 11:23:37.209,0.0007172,3200.0,23
2026-01-22 11:23:37.724,0.0007199,3300.0,24
2026-01-22 11:23:38.239,0.0007274,3400.0,25
2026-01-22 11:23:38.756,0.0007208,3500.0,26
2026-01-22 11:23:39.279,0.0007234,3600.0,27
2026-01-22 11:23:39.795,0.0007175,3700.0,28
2026-01-22 11:23:40.313,0.0007264,3800.0,29
2026-01-22 11:23:40.829,0.0007191,3900.0,30
2026-01-22 11:23:41.346,0.000724,4000.0,31
2026-01-22 11:23:41.862,0.0007337,4100.0,32
2026-01-22 11:23:42.384,0.0007305,4200.0,33
2026-01-22 11:23:42.902,0.0007232,4300.0,34
2026-01-22 11:23:43.416,0.0007263,4400.0,35
2026-01-22 11:23:43.931,0.0007207,4500.0,36
2026-01-22 11:23:44.455,0.0007259,4600.0,37
2026-01-22 11:23:44.971,0.0007125,4700.0,38
2026-01-22 11:23:45.502,0.0007127,4800.0,39
2026-01-22 11:23:46.017,0.000721,4900.0,40
2026-01-22 11:23:46.533,0.0007255,5000.0,41
2026-01-22 11:23:47.047,0.0007249,5100.0,42
2026-01-22 11:23:47.586,0.0007247,5200.0,43
2026-01-22 11:23:48.098,0.0007224,5300.0,44
2026-01-22 11:23:48.610,0.0007204,5400.0,45
2026-01-22 11:23:49.127,0.0007193,5500.0,46
2026-01-22 11:23:49.643,0.0007231,5600.0,47
2026-01-22 11:23:50.159,0.0007252,5700.0,48
2026-01-22 11:23:50.679,0.000719,5800.0,49
2026-01-22 11:23:51.194,0.000725,5900.0,50
2026-01-22 11:23:51.711,0.0007228,6000.0,51
2026-01-22 11:23:52.225,0.0007196,6100.0,52
2026-01-22 11:23:52.741,0.000719,6200.0,53
2026-01-22 11:23:53.255,0.0007234,6300.0,54
2026-01-22 11:23:53.771,0.0007207,6400.0,55
2026-01-22 11:23:54.286,0.0007165,6500.0,56
2026-01-22 11:23:54.802,0.0007148,6600.0,57
2026-01-22 11:23:55.315,0.0007187,6700.0,58
2026-01-22 11:23:55.830,0.0007242,6800.0,59
2026-01-22 11:23:56.344,0.0007279,6900.0,60
2026-01-22 11:23:56.858,0.0007252,7000.0,61
2026-01-22 11:23:57.372,0.0007227,7100.0,62
2026-01-22 11:23:57.888,0.0007272,7200.0,63
2026-01-22 11:23:58.407,0.0007211,7300.0,64
2026-01-22 11:23:58.926,0.0007286,7400.0,65
2026-01-22 11:23:59.448,0.00073,7500.0,66
2026-01-22 11:23:59.963,0.0007358,7600.0,67
2026-01-22 11:24:00.493,0.0007221,7700.0,68
2026-01-22 11:24:01.010,0.0007254,7800.0,69
2026-01-22 11:24:01.524,0.0007191,7900.0,70
2026-01-22 11:24:02.040,0.0007293,8000.0,71
2026-01-22 11:24:02.562,0.000724,8100.0,72
2026-01-22 11:24:03.080,0.0007185,8200.0,73
2026-01-22 11:24:03.593,0.000719,8300.0,74
2026-01-22 11:24:04.105,0.0007252,8400.0,75
2026-01-22 11:24:04.621,0.0007164,8500.0,76
2026-01-22 11:24:05.135,0.0007158,8600.0,77
2026-01-22 11:24:05.654,0.0007204,8700.0,78
2026-01-22 11:24:06.169,0.0007206,8800.0,79
2026-01-22 11:24:06.683,0.0007251,8900.0,80
2026-01-22 11:24:07.199,0.0007297,9000.0,81
2026-01-22 11:24:07.717,0.0007351,9100.0,82
2026-01-22 11:24:08.234,0.0007171,9200.0,83
2026-01-22 11:24:08.749,0.0007308,9300.0,84
2026-01-22 11:24:09.268,0.0007348,9400.0,85
2026-01-22 11:24:09.784,0.0007252,9500.0,86
2026-01-22 11:24:10.298,0.0007271,9600.0,87
2026-01-22 11:24:10.814,0.000723,9700.0,88
2026-01-22 11:24:11.331,0.0007143,9800.0,89
2026-01-22 11:24:11.848,0.0007231,9900.0,90
2026-01-22 11:24:12.363,0.0007204,10000.0,91
