Time,DMM_Meas1,Stimulus_Value,Stimulus_Step
2026-01-22 12:28:32.730,0.177118,,1
2026-01-22 12:28:34.747,0.181249,,2
2026-01-22 12:28:36.769,0.184972,,3
2026-01-22 12:28:38.785,0.188424,,4
2026-01-22 12:28:40.798,0.191629,,5
2026-01-22 12:28:42.816,0.194475,,6
2026-01-22 12:28:44.837,0.197189,,7
2026-01-22 12:28:46.854,0.199714,,8
2026-01-22 12:28:48.871,0.202056,,9
2026-01-22 12:28:50.886,0.20415,,10
2026-01-22 12:28:52.900,0.20619,,11
2026-01-22 12:28:54.914,0.208106,,12
2026-01-22 12:28:56.929,0.209896,,13
2026-01-22 12:28:58.943,0.211586,,14
2026-01-22 12:29:00.967,0.213119,,15
2026-01-22 12:29:02.984,0.214626,,16
2026-01-22 12:29:05.000,0.216052,,17
2026-01-22 12:29:07.017,0.2174,,18
2026-01-22 12:29:09.036,0.218607,,19
2026-01-22 12:29:11.050,0.219833,,20
2026-01-22 12:29:13.066,0.220996,,21
2026-01-22 12:29:15.084,0.222093,,22
2026-01-22 12:29:17.103,0.223077,,23
2026-01-22 12:29:19.129,0.224108,,24
2026-01-22 12:29:21.157,0.22505,,25
2026-01-22 12:29:23.175,0.226006,,26
2026-01-22 12:29:25.188,0.226789,,27
2026-01-22 12:29:27.204,0.227676,,28
2026-01-22 12:29:29.228,0.228448,,29
2026-01-22 12:29:31.257,0.229291,,30
2026-01-22 12:29:33.272,0.229917,,31
2026-01-22 12:29:35.290,0.230689,,32
2026-01-22 12:29:37.304,0.231375,,33
2026-01-22 12:29:39.319,0.232003,,34
2026-01-22 12:29:41.334,0.232734,,35
2026-01-22 12:29:43.348,0.233303,,36
2026-01-22 12:29:45.368,0.233856,,37
2026-01-22 12:29:47.384,0.23452,,38
2026-01-22 12:29:49.398,0.235014,,39
2026-01-22 12:29:51.414,0.235472,,40
2026-01-22 12:29:53.430,0.236072,,41
2026-01-22 12:29:55.444,0.236633,,42
2026-01-22 12:29:57.461,0.237056,,43
2026-01-22 12:29:59.477,0.237448,,44
2026-01-22 12:30:01.492,0.237977,,45
2026-01-22 12:30:03.507,0.238484,,46
2026-01-22 12:30:05.525,0.238944,,47
2026-01-22 12:30:07.543,0.239198,,48
2026-01-22 12:30:09.558,0.239609,,49
2026-01-22 12:30:11.576,0.240108,,50
2026-01-22 12:30:13.599,0.240586,,51
2026-01-22 12:30:15.615,0.240945,,52
2026-01-22 12:30:17.630,0.241217,,53
2026-01-22 12:30:19.655,0.241457,,54
2026-01-22 12:30:21.673,0.241833,,55
2026-01-22 12:30:23.771,0.242261,,56
2026-01-22 12:30:25.832,0.242684,,57
2026-01-22 12:30:27.848,0.243063,,58
2026-01-22 12:30:29.867,0.24323,,59
2026-01-22 12:30:31.887,0.243428,,60
2026-01-22 12:30:33.900,0.243671,,61
2026-01-22 12:30:35.915,0.24402,,62
2026-01-22 12:30:37.931,0.244405,,63
2026-01-22 12:30:39.945,0.244798,,64
2026-01-22 12:30:41.971,0.245132,,65
2026-01-22 12:30:43.988,0.245369,,66
2026-01-22 12:30:46.005,0.245518,,67
2026-01-22 12:30:48.020,0.245633,,68
2026-01-22 12:30:50.038,0.245798,,69
2026-01-22 12:30:52.058,0.24605,,70
2026-01-22 12:30:54.079,0.246361,,71
2026-01-22 12:30:56.096,0.246689,,72
2026-01-22 12:30:58.121,0.24703,,73
2026-01-22 12:31:00.161,0.247318,,74
2026-01-22 12:31:02.179,0.247582,,75
2026-01-22 12:31:04.209,0.247719,,76
2026-01-22 12:31:06.230,0.247843,,77
2026-01-22 12:31:08.253,0.247903,,78
2026-01-22 12:31:10.268,0.248032,,79
2026-01-22 12:31:12.283,0.248151,,80
2026-01-22 12:31:14.299,0.248353,,81
2026-01-22 12:31:16.317,0.248589,,82
2026-01-22 12:31:18.332,0.248888,,83
2026-01-22 12:31:20.348,0.249154,,84
2026-01-22 12:31:22.370,0.249428,,85
2026-01-22 12:31:24.387,0.249682,,86
2026-01-22 12:31:26.403,0.249901,,87
2026-01-22 12:31:28.419,0.250091,,88
2026-01-22 12:31:30.436,0.250219,,89
2026-01-22 12:31:32.451,0.250325,,90
2026-01-22 12:31:34.468,0.250331,,91
