Time,DMM_Meas1,Stimulus_Outer_Value,Stimulus_Inner_Value,Stimulus_Step
2026-01-30 12:24:02.963,1.0164,1000.0,20.0,1
2026-01-30 12:24:03.987,1.3524,1000.0,30.0,2
2026-01-30 12:24:05.001,1.5674,1000.0,40.0,3
2026-01-30 12:24:06.024,1.6897,1000.0,50.0,4
2026-01-30 12:24:07.042,1.738,1000.0,60.0,5
2026-01-30 12:24:08.064,1.7342,1000.0,70.0,6
2026-01-30 12:24:09.082,1.7013,1000.0,80.0,7
2026-01-30 12:24:10.105,0.9567,1250.0,20.0,8
2026-01-30 12:24:11.120,1.3049,1250.0,30.0,9
2026-01-30 12:24:12.142,1.5519,1250.0,40.0,10
2026-01-30 12:24:13.162,1.7136,1250.0,50.0,11
2026-01-30 12:24:14.181,1.8062,1250.0,60.0,12
2026-01-30 12:24:15.203,1.8489,1250.0,70.0,13
2026-01-30 12:24:16.223,1.8473,1250.0,80.0,14
2026-01-30 12:24:17.242,0.903,1500.0,20.0,15
2026-01-30 12:24:18.261,1.2535,1500.0,30.0,16
2026-01-30 12:24:19.284,1.5157,1500.0,40.0,17
2026-01-30 12:24:20.299,1.7027,1500.0,50.0,18
2026-01-30 12:24:21.325,1.8284,1500.0,60.0,19
2026-01-30 12:24:22.351,1.9003,1500.0,70.0,20
2026-01-30 12:24:23.371,1.9296,1500.0,80.0,21
2026-01-30 12:24:24.391,0.857,1750.0,20.0,22
2026-01-30 12:24:25.410,1.2036,1750.0,30.0,23
2026-01-30 12:24:26.433,1.4738,1750.0,40.0,24
2026-01-30 12:24:27.451,1.6778,1750.0,50.0,25
2026-01-30 12:24:28.472,1.8243,1750.0,60.0,26
2026-01-30 12:24:29.491,1.9199,1750.0,70.0,27
2026-01-30 12:24:30.513,1.9743,1750.0,80.0,28
2026-01-30 12:24:31.532,0.8165,2000.0,20.0,29
2026-01-30 12:24:32.552,1.1579,2000.0,30.0,30
2026-01-30 12:24:33.572,1.4307,2000.0,40.0,31
2026-01-30 12:24:34.587,1.6459,2000.0,50.0,32
2026-01-30 12:24:35.610,1.807,2000.0,60.0,33
2026-01-30 12:24:36.631,1.9211,2000.0,70.0,34
