Time,DMM_Meas1,FG_Frequency,FG_Duty_Cycle,Stimulus_Step
2026-02-04 13:47:00.472,1.11361,500.0,20.0,1
2026-02-04 13:47:01.986,1.24828,500.0,50.0,2
2026-02-04 13:47:03.499,1.01605,500.0,80.0,3
2026-02-04 13:47:05.014,1.01427,1000.0,20.0,4
2026-02-04 13:47:06.530,1.67822,1000.0,50.0,5
2026-02-04 13:47:08.045,1.68354,1000.0,80.0,6
2026-02-04 13:47:09.563,0.90211,1500.0,20.0,7
2026-02-04 13:47:11.078,1.69523,1500.0,50.0,8
2026-02-04 13:47:12.594,1.91493,1500.0,80.0,9
2026-02-04 13:47:14.111,0.81706,2000.0,20.0,10
2026-02-04 13:47:15.624,1.63893,2000.0,50.0,11
2026-02-04 13:47:17.140,1.98102,2000.0,80.0,12
2026-02-04 13:47:18.657,0.7516,2500.0,20.0,13
2026-02-04 13:47:20.174,1.56987,2500.0,50.0,14
2026-02-04 13:47:21.691,1.98475,2500.0,80.0,15
2026-02-04 13:47:23.208,0.69794,3000.0,20.0,16
2026-02-04 13:47:24.724,1.50231,3000.0,50.0,17
2026-02-04 13:47:26.240,1.96178,3000.0,80.0,18
2026-02-04 13:47:27.755,0.65613,3500.0,20.0,19
2026-02-04 13:47:29.272,1.44,3500.0,50.0,20
2026-02-04 13:47:30.786,1.92642,3500.0,80.0,21
2026-02-04 13:47:32.300,0.62139,4000.0,20.0,22
2026-02-04 13:47:33.818,1.38347,4000.0,50.0,23
2026-02-04 13:47:35.336,1.88574,4000.0,80.0,24
2026-02-04 13:47:36.854,0.59189,4500.0,20.0,25
2026-02-04 13:47:38.370,1.33253,4500.0,50.0,26
2026-02-04 13:47:39.884,1.84811,4500.0,80.0,27
2026-02-04 13:47:41.398,0.56502,5000.0,20.0,28
2026-02-04 13:47:42.914,1.28702,5000.0,50.0,29
2026-02-04 13:47:44.431,1.808,5000.0,80.0,30
2026-02-04 13:47:45.946,0.54297,5500.0,20.0,31
2026-02-04 13:47:47.460,1.24405,5500.0,50.0,32
2026-02-04 13:47:48.973,1.75882,5500.0,80.0,33
2026-02-04 13:47:50.490,0.52365,6000.0,20.0,34
2026-02-04 13:47:52.008,1.20658,6000.0,50.0,35
2026-02-04 13:47:53.524,1.72312,6000.0,80.0,36
2026-02-04 13:47:55.040,0.50474,6500.0,20.0,37
2026-02-04 13:47:56.557,1.17237,6500.0,50.0,38
2026-02-04 13:47:58.073,1.69136,6500.0,80.0,39
2026-02-04 13:47:59.591,0.48964,7000.0,20.0,40
2026-02-04 13:48:01.107,1.14016,7000.0,50.0,41
2026-02-04 13:48:02.620,1.65244,7000.0,80.0,42
2026-02-04 13:48:04.138,0.47572,7500.0,20.0,43
2026-02-04 13:48:05.652,1.10792,7500.0,50.0,44
2026-02-04 13:48:07.170,1.60978,7500.0,80.0,45
2026-02-04 13:48:08.684,0.46311,8000.0,20.0,46
2026-02-04 13:48:10.207,1.07978,8000.0,50.0,47
2026-02-04 13:48:11.721,1.6015,8000.0,80.0,48
2026-02-04 13:48:13.237,0.44981,8500.0,20.0,49
2026-02-04 13:48:14.751,1.05569,8500.0,50.0,50
2026-02-04 13:48:16.265,1.55784,8500.0,80.0,51
2026-02-04 13:48:17.779,0.43981,9000.0,20.0,52
2026-02-04 13:48:19.305,1.03667,9000.0,50.0,53
2026-02-04 13:48:20.826,1.51323,9000.0,80.0,54
2026-02-04 13:48:22.344,0.4305,9500.0,20.0,55
2026-02-04 13:48:23.861,1.01435,9500.0,50.0,56
2026-02-04 13:48:25.378,1.49758,9500.0,80.0,57
2026-02-04 13:48:26.905,0.4203,10000.0,20.0,58
2026-02-04 13:48:28.421,0.98546,10000.0,50.0,59
2026-02-04 13:48:29.937,1.49453,10000.0,80.0,60
2026-02-04 13:48:31.450,0.41216,10500.0,20.0,61
2026-02-04 13:48:32.965,0.97697,10500.0,50.0,62
2026-02-04 13:48:34.483,1.46676,10500.0,80.0,63
2026-02-04 13:48:35.999,0.4046,11000.0,20.0,64
2026-02-04 13:48:37.517,0.94748,11000.0,50.0,65
2026-02-04 13:48:39.035,1.42837,11000.0,80.0,66
2026-02-04 13:48:40.551,0.39679,11500.0,20.0,67
2026-02-04 13:48:42.064,0.94238,11500.0,50.0,68
2026-02-04 13:48:43.582,1.39071,11500.0,80.0,69
2026-02-04 13:48:45.105,0.38764,12000.0,20.0,70
2026-02-04 13:48:46.621,0.91199,12000.0,50.0,71
2026-02-04 13:48:48.136,1.36093,12000.0,80.0,72
