Time,DMM_Meas1,FG_Frequency,FG_Duty_Cycle,Stimulus_Step
2026-02-04 14:03:25.882,1.0,500.0,20.0,1
2026-02-04 14:03:27.396,1.07422,500.0,50.0,2
2026-02-04 14:03:28.915,0.91223,500.0,80.0,3
2026-02-04 14:03:30.432,0.83369,1000.0,20.0,4
2026-02-04 14:03:31.950,1.42031,1000.0,50.0,5
2026-02-04 14:03:33.466,1.46713,1000.0,80.0,6
2026-02-04 14:03:34.979,0.7363,1500.0,20.0,7
2026-02-04 14:03:36.495,1.42606,1500.0,50.0,8
2026-02-04 14:03:38.010,1.64015,1500.0,80.0,9
2026-02-04 14:03:39.526,0.66154,2000.0,20.0,10
2026-02-04 14:03:41.041,1.37266,2000.0,50.0,11
2026-02-04 14:03:42.561,1.68598,2000.0,80.0,12
2026-02-04 14:03:44.075,0.60667,2500.0,20.0,13
2026-02-04 14:03:45.589,1.31029,2500.0,50.0,14
2026-02-04 14:03:47.105,1.68572,2500.0,80.0,15
2026-02-04 14:03:48.619,0.56343,3000.0,20.0,16
2026-02-04 14:03:50.133,1.25067,3000.0,50.0,17
2026-02-04 14:03:51.647,1.66083,3000.0,80.0,18
2026-02-04 14:03:53.164,0.52837,3500.0,20.0,19
2026-02-04 14:03:54.680,1.19607,3500.0,50.0,20
2026-02-04 14:03:56.194,1.62637,3500.0,80.0,21
2026-02-04 14:03:57.708,0.49778,4000.0,20.0,22
2026-02-04 14:03:59.226,1.14683,4000.0,50.0,23
2026-02-04 14:04:00.743,1.5917,4000.0,80.0,24
2026-02-04 14:04:02.259,0.47318,4500.0,20.0,25
2026-02-04 14:04:03.774,1.10247,4500.0,50.0,26
2026-02-04 14:04:05.288,1.55594,4500.0,80.0,27
2026-02-04 14:04:06.803,0.45213,5000.0,20.0,28
2026-02-04 14:04:08.321,1.06225,5000.0,50.0,29
2026-02-04 14:04:09.837,1.51926,5000.0,80.0,30
2026-02-04 14:04:11.356,0.43296,5500.0,20.0,31
2026-02-04 14:04:12.873,1.02658,5500.0,50.0,32
2026-02-04 14:04:14.388,1.47504,5500.0,80.0,33
2026-02-04 14:04:15.904,0.41613,6000.0,20.0,34
2026-02-04 14:04:17.421,0.99286,6000.0,50.0,35
2026-02-04 14:04:18.936,1.44191,6000.0,80.0,36
2026-02-04 14:04:20.452,0.40192,6500.0,20.0,37
2026-02-04 14:04:21.978,0.96561,6500.0,50.0,38
2026-02-04 14:04:23.495,1.41603,6500.0,80.0,39
2026-02-04 14:04:25.014,0.38885,7000.0,20.0,40
2026-02-04 14:04:26.528,0.93488,7000.0,50.0,41
2026-02-04 14:04:28.044,1.38076,7000.0,80.0,42
2026-02-04 14:04:29.561,0.37608,7500.0,20.0,43
2026-02-04 14:04:31.075,0.90997,7500.0,50.0,44
2026-02-04 14:04:32.589,1.34152,7500.0,80.0,45
2026-02-04 14:04:34.141,0.36599,8000.0,20.0,46
2026-02-04 14:04:35.655,0.88648,8000.0,50.0,47
2026-02-04 14:04:37.184,1.33688,8000.0,80.0,48
2026-02-04 14:04:38.702,0.35626,8500.0,20.0,49
2026-02-04 14:04:40.219,0.86334,8500.0,50.0,50
2026-02-04 14:04:41.739,1.29912,8500.0,80.0,51
2026-02-04 14:04:43.254,0.34796,9000.0,20.0,52
2026-02-04 14:04:44.781,0.84548,9000.0,50.0,53
2026-02-04 14:04:46.299,1.25795,9000.0,80.0,54
2026-02-04 14:04:47.813,0.33843,9500.0,20.0,55
2026-02-04 14:04:49.328,0.83291,9500.0,50.0,56
2026-02-04 14:04:50.840,1.24116,9500.0,80.0,57
2026-02-04 14:04:52.355,0.33085,10000.0,20.0,58
2026-02-04 14:04:53.871,0.80729,10000.0,50.0,59
2026-02-04 14:04:55.386,1.24281,10000.0,80.0,60
2026-02-04 14:04:56.906,0.32393,10500.0,20.0,61
2026-02-04 14:04:58.421,0.79568,10500.0,50.0,62
2026-02-04 14:04:59.939,1.22185,10500.0,80.0,63
2026-02-04 14:05:01.456,0.31817,11000.0,20.0,64
2026-02-04 14:05:02.980,0.77776,11000.0,50.0,65
2026-02-04 14:05:04.494,1.18886,11000.0,80.0,66
2026-02-04 14:05:06.014,0.31199,11500.0,20.0,67
2026-02-04 14:05:07.531,0.76663,11500.0,50.0,68
2026-02-04 14:05:09.050,1.15423,11500.0,80.0,69
2026-02-04 14:05:10.564,0.30536,12000.0,20.0,70
2026-02-04 14:05:12.080,0.74493,12000.0,50.0,71
2026-02-04 14:05:13.596,1.12611,12000.0,80.0,72
