Time,DMM_Meas1,FG_Frequency,FG_Duty_Cycle,Stimulus_Step
2026-02-04 14:12:19.723,1.01749,500.0,20.0,1
2026-02-04 14:12:21.241,0.78487,500.0,50.0,2
2026-02-04 14:12:22.754,0.63549,500.0,80.0,3
2026-02-04 14:12:24.269,1.04527,1000.0,20.0,4
2026-02-04 14:12:25.783,1.41549,1000.0,50.0,5
2026-02-04 14:12:27.299,1.21906,1000.0,80.0,6
2026-02-04 14:12:28.812,0.9577,1500.0,20.0,7
2026-02-04 14:12:30.328,1.57764,1500.0,50.0,8
2026-02-04 14:12:31.842,1.55782,1500.0,80.0,9
2026-02-04 14:12:33.359,0.8806,2000.0,20.0,10
2026-02-04 14:12:34.880,1.60092,2000.0,50.0,11
2026-02-04 14:12:36.398,1.71914,2000.0,80.0,12
2026-02-04 14:12:37.914,0.81706,2500.0,20.0,13
2026-02-04 14:12:39.428,1.57908,2500.0,50.0,14
2026-02-04 14:12:40.950,1.79421,2500.0,80.0,15
2026-02-04 14:12:42.469,0.76459,3000.0,20.0,16
2026-02-04 14:12:43.982,1.54155,3000.0,50.0,17
2026-02-04 14:12:45.498,1.8252,3000.0,80.0,18
2026-02-04 14:12:47.015,0.71827,3500.0,20.0,19
2026-02-04 14:12:48.528,1.49914,3500.0,50.0,20
2026-02-04 14:12:50.052,1.83253,3500.0,80.0,21
2026-02-04 14:12:51.582,0.68131,4000.0,20.0,22
2026-02-04 14:12:53.096,1.45616,4000.0,50.0,23
2026-02-04 14:12:54.609,1.8336,4000.0,80.0,24
2026-02-04 14:12:56.125,0.64938,4500.0,20.0,25
2026-02-04 14:12:57.640,1.41456,4500.0,50.0,26
2026-02-04 14:12:59.154,1.81941,4500.0,80.0,27
2026-02-04 14:13:00.667,0.62151,5000.0,20.0,28
2026-02-04 14:13:02.181,1.37486,5000.0,50.0,29
2026-02-04 14:13:03.696,1.80202,5000.0,80.0,30
2026-02-04 14:13:05.210,0.59513,5500.0,20.0,31
2026-02-04 14:13:06.725,1.33759,5500.0,50.0,32
2026-02-04 14:13:08.241,1.7842,5500.0,80.0,33
2026-02-04 14:13:09.754,0.5736,6000.0,20.0,34
2026-02-04 14:13:11.267,1.3023,6000.0,50.0,35
2026-02-04 14:13:12.781,1.76009,6000.0,80.0,36
2026-02-04 14:13:14.295,0.5542,6500.0,20.0,37
2026-02-04 14:13:15.809,1.26971,6500.0,50.0,38
2026-02-04 14:13:17.323,1.73151,6500.0,80.0,39
2026-02-04 14:13:18.836,0.53492,7000.0,20.0,40
2026-02-04 14:13:20.349,1.23876,7000.0,50.0,41
2026-02-04 14:13:21.864,1.70924,7000.0,80.0,42
2026-02-04 14:13:23.379,0.51921,7500.0,20.0,43
2026-02-04 14:13:24.892,1.20957,7500.0,50.0,44
2026-02-04 14:13:26.407,1.68789,7500.0,80.0,45
2026-02-04 14:13:27.920,0.50485,8000.0,20.0,46
2026-02-04 14:13:29.435,1.18323,8000.0,50.0,47
2026-02-04 14:13:30.948,1.65829,8000.0,80.0,48
2026-02-04 14:13:32.462,0.49162,8500.0,20.0,49
2026-02-04 14:13:33.975,1.15797,8500.0,50.0,50
2026-02-04 14:13:35.489,1.63587,8500.0,80.0,51
2026-02-04 14:13:37.004,0.47809,9000.0,20.0,52
2026-02-04 14:13:38.518,1.13323,9000.0,50.0,53
2026-02-04 14:13:40.032,1.61742,9000.0,80.0,54
2026-02-04 14:13:41.546,0.46693,9500.0,20.0,55
2026-02-04 14:13:43.060,1.11033,9500.0,50.0,56
2026-02-04 14:13:44.580,1.58163,9500.0,80.0,57
2026-02-04 14:13:46.095,0.45637,10000.0,20.0,58
2026-02-04 14:13:47.609,1.08974,10000.0,50.0,59
2026-02-04 14:13:49.123,1.56803,10000.0,80.0,60
2026-02-04 14:13:50.637,0.44589,10500.0,20.0,61
2026-02-04 14:13:52.152,1.07059,10500.0,50.0,62
2026-02-04 14:13:53.668,1.5553,10500.0,80.0,63
2026-02-04 14:13:55.183,0.43696,11000.0,20.0,64
2026-02-04 14:13:56.696,1.04916,11000.0,50.0,65
2026-02-04 14:13:58.210,1.52231,11000.0,80.0,66
2026-02-04 14:13:59.724,0.42824,11500.0,20.0,67
2026-02-04 14:14:01.238,1.02887,11500.0,50.0,68
2026-02-04 14:14:02.752,1.4916,11500.0,80.0,69
2026-02-04 14:14:04.266,0.41905,12000.0,20.0,70
2026-02-04 14:14:05.792,1.01644,12000.0,50.0,71
2026-02-04 14:14:07.307,1.47961,12000.0,80.0,72
