V_set,V_tp,I_in,P_in,V_out,P_out,Load,PWM,Duty,Deadtime,ADC_V_out,ADC_VCC,V_motor,ADC_Vmotor,error,V_VCC,ADC_VCC
0.35,1.888526667,0.052303033,0.018306062,0.931573333,0.001735658,1024,30000,850,0,1265,1891,0.930206667,148930000,148929.0698,1.888526667,1891
0.35,2.151266667,0.0483017,0.016905595,1.11684,0.002494663,500,30000,850,1,1336,2140,1.032986667,1481,0.448013333,2.151266667,2140
0.35,2.057696667,0.04938321,0.017284123,1.08809,0.00236788,500,30000,850,2,1361,2063,1.038116667,1485,0.446883333,2.057696667,2063
0.35,1.97321,0.05034665,0.017621328,1.065163333,0.002269146,500,30000,850,3,1388,1982,1.031986667,1478,0.446013333,1.97321,1982
0.35,1.915233333,0.05120542,0.017921897,1.04511,0.00218451,500,30000,850,4,1405,1919,1.034636667,1477,0.442363333,1.915233333,1919
0.35,1.86247,0.051975627,0.018191469,1.026563333,0.002107665,1000,30000,850,5,1424,1868,1.037486667,1477,0.439513333,1.86247,1868
0.35,1.867893333,0.05250431,0.018376509,0.938603333,0.001761952,1000,31000,850,0,1295,1869,1.035293333,1474,0.438706667,1.867893333,1869
0.35,2.11739,0.04866802,0.017033807,1.128476667,0.002546919,1000,31000,850,1,1377,2110,1.032676667,1471,0.438323333,2.11739,2110
0.35,2.01203,0.049791127,0.017426894,1.093063333,0.002389575,1000,31000,850,2,1399,2017,1.028126667,1464,0.435873333,2.01203,2017
0.35,1.932246667,0.050757247,0.017765036,1.06319,0.002260746,1000,31000,850,3,1423,1935,1.031386667,1467,0.435613333,1.932246667,1935
0.35,1.875373333,0.05157308,0.018050578,1.041836667,0.002170847,1000,31000,850,4,1438,1880,1.045533333,1481,0.435466667,1.875373333,1880
0.35,1.828836667,0.05231511,0.018310288,1.023283333,0.002094218,1000,31000,850,5,1454,1831,1.023283333,1454,0.430716667,1.828836667,1831
0.35,1.876986667,0.052097737,0.018234208,0.927513333,0.001720562,1000,32000,850,0,1269,1876,1.051333333,1482,0.430666667,1.876986667,1876
0.35,2.137026667,0.048049437,0.016817303,1.117396667,0.002497151,1000,32000,850,1,1341,2137,1.026243333,1455,0.428756667,2.137026667,2137
0.35,2.040023333,0.049204753,0.017221664,1.08692,0.00236279,1000,32000,850,2,1369,2041,1.032986667,1461,0.428013333,2.040023333,2041
0.35,1.95746,0.05016416,0.017557456,1.063223333,0.002260888,1000,32000,850,3,1396,1962,1.036233333,1461,0.424766667,1.95746,1962
0.35,1.903023333,0.05100683,0.017852391,1.043766667,0.002178898,1000,32000,850,4,1417,1905,1.049356667,1474,0.424643333,1.903023333,1905
0.35,1.851743333,0.051763617,0.018117266,1.026166667,0.002106036,1000,32000,850,5,1432,1855,1.037913333,1462,0.424086667,1.851743333,1855
0.35,1.859673333,0.052309743,0.01830841,0.933463333,0.001742708,1000,33000,850,0,1296,1859,1.027773333,1451,0.423226667,1.859673333,1859
0.35,2.11714,0.048402337,0.016940818,1.131016667,0.002558397,1000,33000,850,1,1369,2112,1.053296667,1474,0.420703333,2.11714,2112
0.35,2.015316667,0.049528137,0.017334848,1.09681,0.002405984,1000,33000,850,2,1400,2019,1.03896,1459,0.42004,2.015316667,2019
0.35,1.935763333,0.050511693,0.017679093,1.067,0.002276978,1000,33000,850,3,1424,1936,1.038133333,1457,0.418866667,1.935763333,1936
0.35,1.874716667,0.051326183,0.017964164,1.045063333,0.002184315,1000,33000,850,4,1438,1879,1.03154,1450,0.41846,1.874716667,1879
0.35,1.82549,0.05206419,0.018222467,1.026243333,0.002106351,1000,33000,850,5,1455,1830,1.02697,1445,0.41803,1.82549,1830
0.35,1.875936667,0.051962213,0.018186775,0.920233333,0.001693659,1000,34000,850,0,1262,1875,1.036356667,1453,0.416643333,1.875936667,1875
