V_set,V_tp,I_in,P_in,V_out,P_out,PWM,Duty,Deadtime
0.45,0.2224886666666667,0.06771529,0.0304718805,2.1378933333333334,0.009141175809422222,30000,800,250
0.45,0.18142766666666665,0.08371795,0.0376730775,2.4043766666666664,0.01156205431042222,30000,850,250
0.45,0.24099933333333334,0.06356903000000001,0.028606063500000008,1.5070266666666667,0.004542258748088889,30000,900,250
0.45,0.18482633333333334,0.07676593,0.0345446685,2.646333333333333,0.01400616022222222,30000,950,250
0.45,0.20794633333333334,0.06910005666666667,0.031095025500000005,1.69299,0.0057324302802,31000,800,250
0.45,0.23865000000000003,0.06475522,0.029139849000000002,1.5311066666666668,0.004688575249422224,31000,850,250
0.45,0.20079899999999998,0.07571662000000001,0.03407247900000001,2.337153333333333,0.01092457140702222,31000,900,250
0.45,0.24078833333333335,0.07350126,0.033075567,1.2735299999999998,0.0032437573217999993,31000,950,250
0.45,0.22206,0.06906785333333333,0.031080534,2.1010033333333333,0.008828430013355556,32000,800,250
0.45,0.18400666666666665,0.07782060666666667,0.035019273000000004,2.34031,0.0109541017922,32000,850,250
0.45,0.23890633333333333,0.06431777666666666,0.028942999499999997,1.4143600000000003,0.004000828419200001,32000,900,250
0.45,0.2013923333333333,0.06895111666666666,0.0310280025,2.30451,0.010621532680200002,32000,950,250
0.45,0.239432,0.07350528333333334,0.033077377500000005,1.2734166666666666,0.0032431800138888888,30000,800,250
0.45,0.21982533333333332,0.06903163,0.0310642335,2.10221,0.008838573768199999,30000,850,250
0.45,0.17976,0.07780316333333333,0.0350114235,2.34173,0.010967398785800001,30000,900,250
0.45,0.23876333333333333,0.0643473,0.028956285,1.4135433333333334,0.003996209510422222,30000,950,250
0.45,0.2022723333333333,0.06889342,0.031002039,2.316126666666667,0.010728885472088891,31000,800,250
0.45,0.240217,0.07349723666666667,0.0330737565,1.2736100000000001,0.0032441648642000005,31000,850,250
0.45,0.21120433333333333,0.06907053666666667,0.031081741500000003,2.1012066666666667,0.00883013891208889,31000,900,250
