a_x,a_y,a_z,g_x,g_y,g_z
-79,-11,2058,-123,-52,20
1,-77,2119,265,20,152
-113,-115,1813,469,-118,234
-122,-64,2046,-23,-155,222
-31,-35,2058,-24,0,697
224,-11,2058,-18,-52,600
-96,-32,2119,145,20,524
120,-41,2107,46,-118,0
89,-66,2107,132,-155,-22
93,5,2162,-566,60,524
80,240,2073,0,-68,0
100,59,1846,107,65,-22
56,23,0,-274,35,-160
-49,136,1995,-247,-372,128
-25,0,2091,-331,74,38
-95,13,2072,-552,-218,-87
-185,64,2128,56,-455,272
88,23,2105,71,-246,581
-33,141,2032,-286,-24,-18
-37,0,2054,71,74,180
-108,13,2161,-286,-218,-135
-79,-32,2111,-92,-450,195
-129,4,2097,-78,-246,7
-116,-284,2093,-295,-19,-180
-121,-179,2059,63,0,-241
-103,-142,2074,157,394,0
-98,18,2114,77,380,-95
-77,-52,0,0,159,-446
-16,26,2067,24,211,-432
-46,-35,2026,-183,171,-195
43,-109,2079,1,3,-70
46,-32,2161,-552,-56,-986
8,4,2131,56,-95,-493
2,-284,2106,71,62,-495
-39,-179,2063,201,-269,-542
-60,-142,2056,-165,-7,-491
-59,18,2074,149,0,-573
-61,-52,2096,128,394,-110
-106,26,0,77,380,-36
-102,-35,2108,-63,159,-986
-59,-109,2041,139,211,-14
-99,-114,2175,0,171,-495
101,-57,2242,-38,-213,-542
59,-86,2116,-134,234,-491
-54,0,2031,-342,554,-573
-93,-30,2069,-32,-297,-110
4,-191,2088,193,-597,-1
196,-155,2080,-63,-705,-165
355,-243,2123,147,-558,0
498,-185,2054,0,-1249,-8
743,-444,2071,-38,-1241,37
1090,-236,2230,-134,-1279,119
1263,-69,2058,-342,-1511,-138
1664,-187,0,319,-240,37
1918,-49,0,40,-213,119
1958,46,2087,2,234,-138
1874,0,2110,38,554,-124
2121,-152,2118,-672,-297,-4
2021,-4,1870,164,-597,-54
1905,-491,1362,130,-705,-149
2004,-241,1012,369,-546,-10
2091,-243,-334,418,-1249,-57
2047,-185,-241,430,-1652,0
2027,-238,-256,195,0,-101
1996,-207,-534,0,-1258,180
1996,-133,2230,-224,-822,139
2007,-162,2072,-27,-908,68
1962,-120,0,-115,-755,-127
