header,index,a_x,a_y,a_z,g_x,g_y,g_z,timestamp
DATA,3,37,-15,2076,-3,-5,40,2077
DATA,4,38,-14,2077,-5,-5,8,2702
DATA,5,34,-13,2070,-5,-3,10,3327
DATA,6,35,-16,2074,-5,-4,9,3952
DATA,7,37,-15,2079,-5,-3,9,4577
DATA,8,36,-14,2074,-6,-4,10,5202
DATA,9,36,-15,2071,-5,-4,9,5827
DATA,10,36,-13,2079,-5,-3,10,6452
DATA,11,35,-14,2076,-6,-3,9,7077
DATA,12,38,-16,2069,-5,-3,10,7702
DATA,13,37,-14,2073,-5,-4,10,8327
DATA,14,37,-15,2081,-5,-4,10,8952
DATA,15,35,-13,2072,-6,-4,10,9577
DATA,16,35,-13,2072,-5,-4,10,10202
DATA,17,37,-15,2077,-5,-4,9,10827
DATA,18,36,-15,2078,-5,-4,9,11452
DATA,19,35,-15,2068,-5,-4,9,12077
DATA,20,36,-15,2073,-5,-4,10,12702
DATA,21,37,-14,2080,-5,-4,9,13327
DATA,22,35,-15,2071,-6,-4,10,13952
DATA,23,33,-14,2071,-6,-4,9,14577
DATA,24,35,-14,2079,-4,-4,11,15202
DATA,25,35,-14,2075,-6,-4,10,15827
DATA,26,35,-14,2068,-5,-4,10,16452
DATA,27,35,-13,2074,-5,-4,10,17077
DATA,28,37,-12,2081,-5,-4,11,17702
DATA,29,36,-14,2069,-7,-3,10,18327
DATA,30,37,-15,2073,-6,-3,11,18952
DATA,31,37,-13,2078,-4,-3,11,19577
DATA,32,36,-14,2076,-6,-3,10,20202
DATA,33,35,-14,2069,-5,-4,11,20827
DATA,34,37,-15,2077,-5,-3,10,21452
DATA,35,36,-14,2079,-5,-4,11,22077
DATA,36,36,-13,2072,-6,-4,11,22702
DATA,37,37,-18,2074,-5,-4,9,23327
DATA,38,36,-15,2079,-5,-4,10,23952
DATA,39,38,-15,2074,-7,-3,9,24577
DATA,40,38,-14,2069,-5,-4,10,25202
DATA,41,37,-12,2078,-3,-4,12,25827
DATA,42,40,-12,2080,-6,-3,10,26452
DATA,43,36,-15,2072,-6,-3,8,27077
DATA,44,35,-14,2075,-4,-4,11,27702
DATA,45,37,-15,2081,-5,-4,9,28327
DATA,46,35,-12,2075,-6,-3,9,28952
DATA,47,35,-11,2069,-4,-4,11,29577
DATA,48,38,-13,2077,-4,-4,10,30202
DATA,49,36,-13,2079,-6,-4,10,30827
DATA,50,34,-15,2070,-6,-3,9,31452
DATA,51,37,-14,2073,-5,-4,9,32077
DATA,52,37,-13,2080,-5,-4,10,32702
DATA,53,36,-12,2073,-6,-3,11,33327
DATA,54,36,-12,2071,-6,-4,8,33952
DATA,55,36,-14,2078,-5,-5,11,34577
DATA,56,34,-16,2076,-6,-4,10,35202
DATA,57,36,-12,2070,-6,-4,9,35827
DATA,58,36,-13,2074,-4,-3,10,36452
DATA,59,36,-14,2080,-5,-3,10,37077
DATA,60,37,-15,2073,-6,-3,10,37702
DATA,61,36,-13,2071,-5,-3,11,38327
DATA,62,35,-13,2077,-4,-4,10,38952
DATA,63,37,-11,2076,-5,-4,11,39577
DATA,64,34,-14,2069,-6,-4,10,40202
DATA,65,37,-17,2075,-5,-3,10,40827
DATA,66,38,-13,2080,-5,-3,10,41452
DATA,67,36,-14,2071,-5,-3,8,42077
DATA,68,35,-15,2071,-5,-4,10,42702
DATA,69,36,-15,2079,-5,-4,11,43327
DATA,70,37,-14,2076,-6,-3,10,43952
DATA,71,36,-14,2069,-6,-4,9,44577
DATA,72,36,-15,2075,-5,-4,10,45202
DATA,73,37,-13,2073,-6,-4,11,45827
DATA,74,37,-17,2069,-6,-5,9,46452
DATA,75,35,-15,2075,-5,-5,11,47077
DATA,76,35,-14,2079,-5,-4,11,47702
DATA,77,36,-15,2072,-6,-4,11,48327
DATA,78,36,-15,2070,-5,-4,9,48952
DATA,79,37,-16,2079,-5,-4,10,49577
DATA,80,37,-15,2078,-5,-5,11,50202
DATA,81,37,-15,2069,-6,-3,9,50827
DATA,82,36,-13,2072,-5,-4,11,51452
DATA,83,36,-13,2077,-6,-5,11,52077
DATA,84,37,-16,2072,-6,-5,10,52702
DATA,85,38,-13,2071,-5,-4,11,53327
DATA,86,36,-14,2077,-4,-4,9,53952
DATA,87,38,-14,2075,-7,-3,10,54577
DATA,88,36,-13,2068,-7,-5,11,55202
DATA,89,38,-15,2078,-3,-4,10,55827
DATA,90,37,-14,2080,-5,-4,10,56452
DATA,91,36,-13,2074,-5,-4,11,57077
DATA,92,36,-14,2074,-5,-4,10,57702
DATA,93,37,-13,2078,-6,-4,11,58327
DATA,94,35,-15,2077,-6,-3,10,58952
DATA,95,35,-12,2071,-5,-3,10,59577
DATA,96,37,-16,2080,-4,-4,10,60202
DATA,97,38,-12,2081,-5,-3,12,60827
DATA,98,35,-15,2072,-6,-3,9,61452
DATA,99,37,-12,2075,-6,-4,11,62077
DATA,100,37,-14,2080,-4,-4,10,62702
DATA,101,37,-14,2076,-5,-4,10,63327
DATA,102,38,-15,2072,-6,-5,9,63952
DATA,103,39,-15,2080,-5,-4,10,64577
DATA,104,38,-12,2080,-7,-4,10,65202
DATA,105,38,-15,2072,-7,-4,12,291
DATA,106,37,-14,2077,-5,-4,10,916
DATA,107,37,-14,2081,-5,-4,10,1541
DATA,108,36,-13,2075,-6,-2,10,2166
DATA,109,35,-15,2073,-6,-4,11,2791
DATA,110,38,-13,2080,-6,-4,10,3416
DATA,111,37,-14,2082,-5,-3,10,4041
DATA,112,37,-15,2071,-5,-3,10,4666
DATA,113,37,-13,2076,-4,-5,11,5291
DATA,114,37,-11,2082,-6,-4,11,5916
DATA,115,35,-14,2074,-6,-3,10,6541
DATA,116,36,-14,2075,-5,-4,10,7166
DATA,117,37,-13,2083,-4,-4,10,7791
DATA,118,35,-11,2077,-6,-3,10,8416
