PV,MV,BO,TP,TP_O
1,0,0,982,450
1,0,1,876,450
1,0,0,797,450
1,0,0,841,450
1,0,0,643,450
1,0,0,750,450
1,0,0,788,450
1,0,1,757,450
1,0,1,708,450
1,0,1,718,450
1,0,1,715,450
1,0,1,720,450
1,0,0,752,450
1,0,1,775,450
1,0,0,750,450
1,0,0,789,450
1,0,0,787,450
1,0,0,790,450
1,0,1,785,450
1,0,1,663,450
1,0,1,675,450
1,0,1,672,450
1,0,0,733,450
1,0,1,793,450
1,0,0,719,450
1,0,0,791,450
1,0,0,784,450
1,0,0,788,450
1,0,1,774,450
1,0,1,664,450
1,0,1,667,450
1,0,1,673,450
1,0,0,722,450
1,0,1,774,450
1,0,0,719,450
1,0,0,788,450
1,0,0,783,450
1,0,0,787,450
1,0,1,788,450
1,0,1,643,450
1,0,1,654,450
1,0,1,650,450
1,0,1,657,450
1,0,1,654,450
1,0,1,655,450
1,0,1,665,450
1,0,1,655,450
1,0,1,656,450
1,0,1,654,450
1,0,1,654,450
1,0,1,661,450
1,0,1,660,450
1,0,0,729,450
1,0,1,800,450
1,0,0,709,450
1,0,0,795,450
1,0,0,789,450
1,0,0,791,450
1,0,1,765,450
1,0,1,631,450
1,0,1,635,450
1,0,1,633,450
1,0,0,699,450
1,0,1,786,450
1,0,0,704,450
1,0,0,792,450
1,0,0,787,450
1,0,0,792,450
1,0,1,738,450
1,0,1,626,450
1,0,1,644,450
1,0,1,641,450
1,0,0,715,450
1,0,1,741,450
1,0,0,698,450
1,0,0,793,450
1,0,0,789,450
1,0,0,791,450
1,0,1,784,450
1,0,1,609,450
1,0,1,621,450
1,0,1,604,450
1,0,0,701,450
1,0,1,739,450
1,0,0,678,450
1,0,0,795,450
1,0,0,791,450
1,0,0,791,450
1,0,1,797,450
1,0,1,601,450
1,0,1,616,450
1,0,1,620,450
1,0,0,703,450
1,0,1,789,450
1,0,0,693,450
1,0,0,794,450
1,0,0,794,450
1,0,0,793,450
1,0,1,796,450
1,0,1,588,450
1,0,1,574,450
1,0,0,683,450
1,0,0,805,450
1,0,0,798,450
1,0,0,791,450
1,0,0,791,450
1,0,0,788,450
1,0,0,789,450
1,0,0,789,450
1,0,1,791,450
1,0,1,571,450
1,0,1,582,450
1,0,1,595,450
1,0,1,574,450
1,0,1,593,450
1,0,1,595,450
1,0,1,577,450
1,0,1,596,450
1,0,1,591,450
1,0,1,599,450
1,0,1,600,450
1,0,1,580,450
1,0,0,690,450
1,0,0,807,450
1,0,0,795,450
1,0,1,742,450
1,0,1,548,450
1,0,1,563,450
1,0,1,564,450
1,0,1,553,450
1,0,1,576,450
1,0,1,552,450
1,0,1,568,450
1,0,1,564,450
1,0,1,562,450
1,0,1,568,450
1,0,1,551,450
1,0,1,577,450
1,0,1,558,450
1,0,1,571,450
1,0,1,565,450
1,0,1,556,450
1,0,0,662,450
1,0,0,809,450
1,0,0,796,450
1,0,1,781,450
1,0,1,551,450
1,0,1,539,450
1,0,1,531,450
1,0,1,553,450
1,0,1,540,450
1,0,1,531,450
1,0,1,549,450
1,0,1,554,450
1,0,1,528,450
1,0,1,546,450
1,0,1,559,450
1,0,1,534,450
1,0,1,541,450
1,0,1,562,450
1,0,1,544,450
1,0,1,536,450
1,0,1,554,450
1,0,1,548,450
1,0,1,531,450
1,0,1,585,450
1,0,1,543,450
1,0,1,512,450
1,0,1,544,450
1,0,1,515,450
1,0,1,539,450
1,0,1,515,450
1,0,1,544,450
1,0,1,515,450
1,0,1,544,450
1,0,1,520,450
1,0,1,543,450
1,0,1,515,450
1,0,1,543,450
1,0,1,514,450
1,0,1,536,450
1,0,1,515,450
1,0,1,544,450
1,0,1,515,450
1,0,1,544,450
1,0,1,553,450
1,0,1,496,450
1,0,1,501,450
1,0,1,517,450
1,0,1,526,450
1,0,1,529,450
1,0,1,525,450
1,0,1,511,450
1,0,1,498,450
1,0,1,518,450
1,0,1,510,450
1,0,1,519,450
1,0,1,527,450
1,0,1,529,450
1,0,1,524,450
1,0,1,514,450
1,0,1,523,450
1,0,1,528,450
1,0,1,528,450
1,0,1,514,450
1,0,1,529,450
1,0,1,479,450
1,0,1,507,450
1,0,1,516,450
1,0,1,484,450
1,0,1,517,450
1,0,1,516,450
1,0,1,491,450
1,0,1,495,450
1,0,1,516,450
1,0,1,489,450
1,0,1,488,450
1,0,1,513,450
1,0,1,500,450
1,0,1,483,450
1,0,1,514,450
1,0,1,508,450
1,0,1,480,450
1,0,1,505,450
1,0,1,514,450
1,0,1,486,450
1,0,1,473,450
1,0,1,464,450
1,0,1,477,450
1,0,1,489,450
1,0,1,477,450
1,0,1,505,450
1,0,1,506,450
1,0,1,497,450
1,0,1,479,450
1,0,1,503,450
1,0,1,471,450
1,0,1,482,450
1,0,1,492,450
1,0,1,503,450
1,0,1,471,450
1,0,1,504,450
1,0,1,492,450
1,0,1,472,450
1,0,1,465,450
1,0,1,504,450
1,0,1,488,450
1,0,1,498,450
1,0,1,502,450
1,0,1,504,450
1,0,1,488,450
1,0,1,477,450
1,0,1,468,450
1,0,1,467,450
1,0,1,480,450
1,0,1,537,450
1,0,1,475,450
1,0,1,489,450
1,0,1,454,450
1,0,1,496,450
1,0,1,426,450
1,0,1,502,450
1,0,1,505,450
1,0,1,496,450
1,0,1,477,450
1,0,1,495,450
1,0,1,514,450
1,0,1,498,450
1,0,1,478,450
1,0,1,506,450
1,0,1,456,450
1,0,1,489,450
1,0,1,495,450
1,0,1,511,450
1,0,1,523,450
1,0,1,523,450
1,0,1,519,450
1,0,1,501,450
1,0,1,492,450
1,0,1,493,450
1,0,1,508,450
1,0,1,516,450
1,0,1,525,450
1,0,1,522,450
1,0,1,510,450
1,0,1,494,450
1,0,1,489,450
1,0,1,499,450
1,0,1,512,450
1,0,1,518,450
1,0,1,524,450
1,0,1,506,450
1,0,1,478,450
1,0,1,501,450
1,0,1,494,450
1,0,1,474,450
1,0,1,474,450
1,0,1,502,450
1,0,1,513,450
1,0,1,478,450
1,0,1,485,450
1,0,1,483,450
1,0,1,488,450
1,0,1,510,450
1,0,1,487,450
1,0,1,508,450
1,0,1,509,450
1,0,1,497,450
1,0,1,478,450
1,0,1,506,450
1,0,1,472,450
1,0,1,473,450
1,0,1,500,450
1,0,1,511,450
1,0,1,477,450
1,0,1,512,450
1,0,1,511,450
1,0,1,482,450
1,0,1,493,450
1,0,1,512,450
1,0,1,485,450
1,0,1,484,450
1,0,1,507,450
1,0,1,495,450
1,0,1,477,450
1,0,1,559,450
1,0,1,493,450
1,0,1,498,450
1,0,1,502,450
1,0,1,493,450
1,0,1,496,450
1,0,1,464,450
1,0,1,461,450
1,0,1,477,450
1,0,1,488,450
1,0,1,433,450
1,0,1,481,450
1,0,1,491,450
1,0,1,510,450
1,0,1,486,450
1,0,1,500,450
1,0,1,524,450
1,0,1,521,450
1,0,1,506,450
1,0,1,494,450
1,0,1,487,450
1,0,1,496,450
1,0,1,511,450
1,0,1,519,450
1,0,1,521,450
1,0,1,511,450
1,0,1,499,450
1,0,1,491,450
1,0,1,490,450
1,0,1,503,450
1,0,1,517,450
1,0,1,517,450
1,0,1,520,450
1,0,1,510,450
1,0,1,495,450
1,0,1,502,450
1,0,1,479,450
1,0,1,503,450
1,0,1,498,450
1,0,1,471,450
1,0,1,509,450
1,0,1,507,450
1,0,1,475,450
1,0,1,497,450
1,0,1,509,450
1,0,1,489,450
1,0,1,492,450
1,0,1,509,450
1,0,1,483,450
1,0,1,486,450
1,0,1,495,450
1,0,1,490,450
1,0,1,480,450
1,0,1,506,450
1,0,1,498,450
1,0,1,490,450
1,0,1,464,450
1,0,1,463,450
1,0,1,481,450
1,0,1,491,450
1,0,1,463,450
1,0,1,501,450
1,0,1,497,450
1,0,1,479,450
1,0,1,466,450
1,0,1,498,450
1,0,1,509,450
1,0,1,489,450
1,0,1,486,450
1,0,1,475,450
1,0,1,434,450
1,0,1,497,450
1,0,1,491,450
1,0,1,494,450
1,0,1,506,450
1,0,1,450,450
1,0,0,649,450
1,0,0,803,450
1,0,0,793,450
1,0,0,786,450
1,0,1,779,450
1,0,1,524,450
1,0,1,504,450
1,0,1,530,450
1,0,1,510,450
1,0,1,528,450
1,0,1,508,450
1,0,1,533,450
1,0,1,509,450
1,0,1,535,450
1,0,1,511,450
1,0,1,538,450
1,0,1,508,450
1,0,1,539,450
1,0,1,508,450
1,0,1,520,450
1,0,1,522,450
1,0,1,524,450
1,0,1,508,450
1,0,1,497,450
1,0,1,491,450
1,0,1,502,450
1,0,1,512,450
1,0,1,520,450
1,0,1,524,450
1,0,1,510,450
1,0,1,502,450
1,0,1,494,450
1,0,1,495,450
1,0,1,507,450
1,0,1,519,450
1,0,1,524,450
1,0,1,522,450
1,0,1,510,450
1,0,1,498,450
1,0,1,499,450
1,0,1,487,450
1,0,1,509,450
1,0,1,496,450
1,0,1,481,450
1,0,1,509,450
1,0,1,506,450
1,0,1,476,450
1,0,1,506,450
1,0,1,512,450
1,0,1,496,450
1,0,1,500,450
1,0,1,513,450
1,0,1,484,450
1,0,1,494,450
1,0,1,493,450
1,0,1,488,450
1,0,1,488,450
1,0,1,511,450
1,0,1,497,450
1,0,1,496,450
1,0,1,463,450
1,0,1,471,450
1,0,1,486,450
1,0,1,497,450
1,0,1,466,450
1,0,1,504,450
1,0,1,496,450
1,0,1,475,450
1,0,1,467,450
1,0,1,504,450
1,0,1,481,450
1,0,1,488,450
1,0,1,499,450
1,0,1,503,450
1,0,1,482,450
1,0,1,487,450
1,0,1,472,450
1,0,1,463,450
1,0,1,476,450
1,0,1,491,450
1,0,1,495,450
1,0,1,500,450
1,0,1,505,450
1,0,1,495,450
1,0,1,487,450
1,0,1,506,450
1,0,1,510,450
1,0,1,479,450
1,0,1,499,450
1,0,1,487,450
1,0,1,485,450
1,0,1,490,450
1,0,1,516,450
1,0,1,510,450
1,0,1,481,450
1,0,1,509,450
1,0,1,516,450
1,0,1,524,450
1,0,1,525,450
1,0,1,491,450
1,0,1,500,450
1,0,1,515,450
1,0,1,485,450
1,0,1,496,450
1,0,1,494,450
1,0,1,489,450
1,0,1,489,450
1,0,1,514,450
1,0,1,496,450
1,0,1,507,450
1,0,1,511,450
1,0,1,511,450
1,0,1,478,450
1,0,1,506,450
1,0,1,481,450
1,0,1,481,450
1,0,1,501,450
1,0,1,514,450
1,0,1,486,450
1,0,1,514,450
1,0,1,514,450
1,0,1,499,450
1,0,1,490,450
1,0,1,514,450
1,0,1,482,450
1,0,1,483,450
1,0,1,510,450
1,0,1,508,450
1,0,1,478,450
1,0,1,514,450
1,0,1,493,450
1,0,1,500,450
1,0,1,506,450
1,0,1,504,450
1,0,1,497,450
1,0,1,474,450
1,0,1,466,450
1,0,1,478,450
1,0,1,489,450
1,0,1,477,450
1,0,1,504,450
1,0,1,507,450
1,0,1,497,450
1,0,1,480,450
1,0,1,504,450
1,0,1,470,450
1,0,1,484,450
1,0,1,494,450
1,0,1,501,450
1,0,1,455,450
1,0,1,479,450
1,0,1,505,450
1,0,1,516,450
1,0,1,482,450
1,0,1,519,450
1,0,1,517,450
1,0,1,488,450
1,0,1,497,450
1,0,1,515,450
1,0,1,482,450
1,0,1,488,450
1,0,1,480,450
1,0,1,467,450
1,0,1,478,450
1,0,1,493,450
1,0,1,498,450
1,0,1,505,450
1,0,1,508,450
1,0,1,498,450
1,0,1,500,450
1,0,1,470,450
1,0,1,467,450
1,0,1,484,450
1,0,1,496,450
1,0,1,441,450
1,0,1,487,450
1,0,1,498,450
1,0,1,521,450
1,0,1,491,450
1,0,1,517,450
1,0,1,518,450
1,0,1,511,450
1,0,1,484,450
1,0,1,511,450
1,0,1,480,450
1,0,1,479,450
1,0,1,508,450
1,0,1,520,450
1,0,1,482,450
1,0,1,516,450
1,0,1,518,450
1,0,1,490,450
1,0,1,497,450
1,0,1,484,450
1,0,1,532,450
1,0,1,507,450
1,0,1,508,450
1,0,1,490,450
1,0,1,477,450
1,0,1,508,450
1,0,1,489,450
1,0,1,499,450
1,0,1,507,450
1,0,1,507,450
1,0,1,481,450
1,0,1,499,450
1,0,1,521,450
1,0,1,492,450
1,0,1,493,450
1,0,1,507,450
1,0,1,500,450
1,0,1,480,450
1,0,1,512,450
1,0,1,512,450
1,0,1,507,450
1,0,1,509,450
1,0,1,517,450
1,0,1,484,450
1,0,1,506,450
1,0,1,535,450
1,0,1,509,450
1,0,1,509,450
1,0,1,489,450
1,0,1,476,450
1,0,1,508,450
1,0,1,479,450
1,0,1,492,450
1,0,1,502,450
1,0,1,509,450
1,0,1,480,450
1,0,1,501,450
1,0,1,487,450
1,0,1,470,450
1,0,1,473,450
1,0,1,508,450
1,0,1,498,450
1,0,1,507,450
1,0,1,509,450
1,0,1,508,450
1,0,1,499,450
1,0,1,476,450
1,0,1,472,450
1,0,1,478,450
1,0,1,491,450
1,0,1,480,450
1,0,1,510,450
1,0,1,508,450
1,0,1,500,450
1,0,1,482,450
1,0,1,498,450
1,0,1,494,450
1,0,1,459,450
1,0,1,502,450
1,0,1,478,450
1,0,1,496,450
1,0,1,478,450
1,0,1,489,450
1,0,1,500,450
1,0,1,508,450
1,0,1,461,450
1,0,1,483,450
1,0,1,513,450
1,0,1,521,450
1,0,1,484,450
1,0,1,519,450
1,0,1,523,450
1,0,1,487,450
1,0,1,504,450
1,0,1,521,450
1,0,1,492,450
1,0,1,498,450
1,0,1,516,450
1,0,1,501,450
1,0,1,490,450
1,0,1,512,450
1,0,1,508,450
1,0,1,483,450
1,0,1,512,450
1,0,1,516,450
1,0,1,492,450
1,0,1,475,450
1,0,1,470,450
1,0,1,484,450
1,0,1,498,450
1,0,1,477,450
1,0,1,511,450
1,0,1,509,450
1,0,1,497,450
1,0,1,481,450
1,0,1,511,450
1,0,1,478,450
1,0,1,486,450
1,0,1,503,450
1,0,1,490,450
1,0,1,502,450
1,0,1,518,450
1,0,1,509,450
1,0,1,484,450
1,0,1,517,450
1,0,1,508,450
1,0,0,623,450
1,0,0,803,450
1,0,0,792,450
1,0,0,789,450
1,0,1,786,450
1,0,1,458,450
1,0,1,476,450
1,0,1,493,450
1,0,1,503,450
1,0,1,472,450
1,0,1,512,450
1,0,1,510,450
1,0,1,485,450
1,0,1,475,450
1,0,1,511,450
1,0,1,488,450
1,0,1,502,450
1,0,1,508,450
1,0,1,512,450
1,0,1,489,450
1,0,1,494,450
1,0,1,482,450
1,0,1,471,450
1,0,1,483,450
1,0,1,498,450
1,0,1,504,450
1,0,1,510,450
1,0,1,513,450
1,0,1,503,450
1,0,1,491,450
1,0,1,488,450
1,0,1,470,450
1,0,1,502,450
1,0,1,471,450
1,0,1,501,450
1,0,1,493,450
1,0,1,463,450
1,0,1,504,450
1,0,1,477,450
1,0,1,504,450
1,0,1,497,450
1,0,1,462,450
1,0,1,504,450
1,0,1,484,450
1,0,1,501,450
1,0,1,482,450
1,0,1,495,450
1,0,1,505,450
1,0,1,512,450
1,0,1,467,450
1,0,1,490,450
1,0,1,513,450
1,0,1,515,450
1,0,1,485,450
1,0,1,521,450
1,0,1,521,450
1,0,1,487,450
1,0,1,509,450
1,0,1,526,450
1,0,1,499,450
1,0,1,504,450
1,0,1,521,450
1,0,1,498,450
1,0,1,496,450
1,0,1,508,450
1,0,1,508,450
1,0,1,490,450
1,0,1,517,450
1,0,1,519,450
1,0,1,500,450
1,0,1,474,450
1,0,1,472,450
1,0,1,488,450
1,0,1,502,450
1,0,1,476,450
1,0,1,513,450
1,0,1,512,450
1,0,1,494,450
1,0,1,481,450
1,0,1,515,450
1,0,1,483,450
1,0,1,492,450
1,0,1,507,450
1,0,1,512,450
1,0,1,485,450
1,0,1,505,450
1,0,1,487,450
1,0,1,476,450
1,0,1,477,450
1,0,1,510,450
1,0,1,501,450
1,0,1,509,450
1,0,1,516,450
1,0,1,510,450
1,0,0,616,450
1,0,0,818,450
1,0,0,805,450
1,0,0,796,450
1,0,0,797,450
1,0,0,800,450
1,0,0,802,450
1,0,0,803,450
1,0,0,797,450
1,0,0,801,450
1,0,0,793,450
1,0,0,798,450
1,0,0,796,450
1,0,0,793,450
1,0,0,789,450
1,0,0,793,450
1,0,0,796,450
1,0,0,800,450
1,0,0,799,450
1,0,0,797,450
1,0,0,795,450
1,0,0,795,450
1,0,0,794,450
1,0,0,799,450
1,0,0,796,450
1,0,0,794,450
1,0,0,796,450
1,0,0,799,450
1,0,0,798,450
1,0,0,799,450
1,0,0,794,450
1,0,0,799,450
1,0,0,794,450
1,0,0,797,450
1,0,0,793,450
1,0,0,799,450
1,0,0,795,450
1,0,0,798,450
1,0,0,794,450
1,0,0,797,450
1,0,0,800,450
1,0,0,797,450
1,0,0,795,450
1,0,0,801,450
1,0,0,794,450
1,0,0,799,450
1,0,0,796,450
1,0,0,799,450
1,0,0,800,450
1,0,0,794,450
1,0,0,791,450
1,0,0,791,450
1,0,0,800,450
1,0,0,798,450
1,0,0,800,450
1,0,0,802,450
1,0,0,805,450
1,0,0,809,450
1,0,0,810,450
1,0,0,810,450
1,0,0,813,450
1,0,0,815,450
1,0,0,816,450
1,0,0,819,450
1,0,0,821,450
1,0,0,824,450
1,0,0,823,450
1,0,0,823,450
1,0,0,819,450
1,0,0,810,450
1,0,0,808,450
1,1,0,772,450
1,1,0,715,450
1,1,0,699,450
1,1,0,698,450
1,1,0,502,450
1,1,0,633,450
1,1,0,663,450
1,1,0,677,450
1,1,0,682,450
1,1,0,689,450
1,1,0,688,450
1,1,0,690,450
1,1,0,692,450
1,1,0,693,450
1,1,0,693,450
1,1,0,694,450
1,1,0,694,450
1,1,0,687,450
1,1,0,683,450
1,1,0,677,450
1,1,0,677,450
1,1,0,679,450
1,1,0,681,450
1,1,0,682,450
1,1,0,683,450
1,1,0,682,450
1,1,0,684,450
