PV,MV,BO,TP,MO,TP_O
1,0,0,1164,3599,550
1,0,1,1011,3597,550
1,0,0,944,3600,550
1,0,0,1013,3598,550
1,0,0,824,3597,550
1,0,0,935,3601,550
1,0,0,955,3599,550
1,0,1,952,3602,550
1,0,1,862,3601,550
1,0,1,864,3600,550
1,0,1,865,3604,550
1,0,1,870,3605,550
1,0,0,920,3605,550
1,0,1,952,3604,550
1,0,0,898,3606,550
1,0,0,951,3604,550
1,0,0,953,3604,550
1,0,0,959,3604,550
1,0,1,954,3602,550
1,0,1,812,3604,550
1,0,1,817,3607,550
1,0,1,825,3607,550
1,0,0,900,3611,550
1,0,1,919,3607,550
1,0,0,879,3610,550
1,0,0,962,3609,550
1,0,0,960,3610,550
1,0,0,945,3610,550
1,0,0,955,3609,550
1,0,1,928,3607,550
1,0,1,798,3609,550
1,0,1,806,3611,550
1,0,0,875,3615,550
1,0,0,958,3612,550
1,0,0,953,3612,550
1,0,1,942,3611,550
1,0,1,803,3613,550
1,0,1,807,3616,550
1,0,1,817,3614,550
1,0,1,813,3617,550
1,0,1,831,3617,550
1,0,1,794,3620,550
1,0,0,878,3622,550
1,0,0,964,3619,550
1,0,0,962,3618,550
1,0,1,941,3618,550
1,0,0,857,3621,550
1,0,0,955,3619,550
1,0,0,959,3619,550
1,0,0,950,3618,550
1,0,0,958,3618,550
1,0,1,921,3616,550
1,0,0,855,3621,550
1,0,0,959,3620,550
1,0,0,959,3621,550
1,0,0,953,3621,550
1,0,0,959,3621,550
1,0,1,952,3617,550
1,0,0,852,3623,550
1,0,0,960,3622,550
1,0,0,962,3621,550
1,0,0,957,3621,550
1,0,0,960,3619,550
1,0,0,960,3621,550
1,0,0,956,3620,550
1,0,0,954,3620,550
1,0,1,935,3664,550
1,0,1,774,3622,550
1,0,1,770,3624,550
1,0,1,770,3624,550
1,0,1,771,3663,550
1,0,1,781,3629,550
1,0,1,781,3630,550
1,0,1,784,3630,550
1,0,1,790,3631,550
1,0,1,792,3632,550
1,0,1,783,3632,550
1,0,1,790,3634,550
1,0,1,775,3634,550
1,0,1,774,3636,550
1,0,1,775,3671,550
1,0,1,786,3640,550
1,0,0,878,3642,550
1,0,0,976,3640,550
1,0,0,969,3639,550
1,0,0,965,3639,550
1,0,1,959,3635,550
1,0,1,726,3638,550
1,0,1,731,3641,550
1,0,1,731,3642,550
1,0,1,733,3643,550
1,0,1,737,3646,550
1,0,1,734,3646,550
1,0,1,740,3647,550
1,0,1,758,3650,550
1,0,1,759,3650,550
1,0,1,762,3652,550
