a_x,a_y,a_z,g_x,g_y,g_z
-107,15,2073,-1,1,-2
-101,11,2072,-2,0,-3
-103,14,2073,-3,1,-3
-105,13,2073,-1,0,-3
-104,12,2074,-1,0,-3
-105,14,2073,-3,0,-2
-103,13,2075,-1,0,-2
-105,12,2076,-2,0,-3
-104,13,2074,-2,0,-3
-104,12,2074,-1,1,-4
-104,14,2074,-2,1,-4
-102,12,2076,-2,1,-3
-104,13,2076,13,1,0
-103,0,2076,0,0,0
-106,0,2075,-2,1,-3
-103,15,2074,-1,2,-2
-105,14,2074,-2,0,-3
-108,13,2076,-2,-1,-2
-101,12,2076,-1,1,-4
-105,11,2074,-2,-1,-2
-103,13,2073,-2,-1,-3
-105,12,2075,7,0,-3
-102,14,0,0,1,-3
-102,12,2074,7,0,-3
-103,16,2076,0,0,-4
-104,14,2076,-2,-5,-3
-102,20,2074,-1,0,-2
-103,11,2073,-2,2,-2
-104,21,2075,-1,0,0
-104,12,2076,-2,-1,0
-105,13,2074,-2,1,-2
-99,12,2074,17,1,-3
-104,17,2074,0,-1,-3
-107,12,2074,17,2,-2
-106,12,2091,0,-1,-2
-103,12,2076,-3,-1,-3
-103,16,2074,-2,0,-2
-108,13,2076,-2,-1,-3
-102,10,2076,-2,-1,-3
-95,19,0,-2,0,-2
-87,14,2079,-1,1,-2
-116,17,2081,-1,-3,-4
-112,0,2082,-2,2,-4
-99,17,2076,-3,1,-2
-95,10,2074,8,1,-3
-101,25,2074,-1,-10,-3
-105,14,2073,7,-2,-2
-107,23,2081,0,4,-3
-97,0,2076,-2,1,-2
-102,17,2073,-3,1,-1
-106,14,2073,-2,1,0
-95,12,2078,-4,14,0
-90,12,2074,2,0,-3
-125,15,2068,3,-50,-2
-342,17,0,105,0,-5
-685,12,2075,305,1,4
-960,16,2076,107,-3,-50
-1201,14,2073,0,256,-142
-1259,8,2073,-164,1060,121
-1278,98,2086,125,1898,59
-1285,133,1939,-74,1258,-50
-1125,0,1834,64,477,-39
-981,17,0,34,216,-5
-623,104,1668,159,257,4
-362,110,1652,188,29,-50
-217,127,1627,262,-1122,-142
61,202,1553,217,-1735,121
94,120,1955,-92,0,160
136,180,2051,-237,-760,207
72,245,2058,34,-760,-16
219,202,2076,159,-888,-32
-152,218,0,188,-639,268
-733,79,1939,262,340,-15
-1011,89,2164,217,-20,-147
-1225,120,1955,-92,649,186
-1637,180,1774,-237,1064,151
-1957,245,1416,-970,1995,244
-1918,202,1411,22,1822,288
-1989,218,1118,23,1583,0
-2027,79,783,0,1495,-7
-1951,96,616,108,1672,160
-1913,-8,227,108,1238,207
-1859,283,107,-27,1128,-16
-2076,0,-43,156,0,-32
-1936,130,0,-35,512,423
-1997,674,-338,183,818,-15
-1956,437,-323,377,457,-147
-1952,421,-383,13,342,186
-1933,631,-444,141,83,151
-1912,442,-460,6,93,416
-1977,487,-529,-16,250,135
-1922,471,-494,-21,185,172
-1910,108,-517,16,1684,263
-2087,-8,-452,6,1238,0
-1989,295,-389,-214,1140,-153
-1880,0,-53,0,0,-255
-1593,130,264,6,512,-281
-1462,503,688,-16,818,73
-1182,491,1091,-21,457,251
-1059,505,0,23,342,26
-654,526,268,6,-28,-555
-451,500,688,-207,-1434,215
-86,194,1095,0,-908,-788
-57,342,0,108,-19,-30
45,0,-338,-27,-28,170
76,130,-323,156,-1434,213
-368,503,2603,-35,-908,278
-638,491,2308,-229,-19,795
-1073,505,2114,-15,-1434,77
-1546,526,2200,-252,-908,424
-1704,500,2146,-85,-19,492
-1989,194,2166,0,-219,0
-2115,342,-53,300,612,-454
-2030,200,281,19,1542,-362
-1981,222,2124,138,-1807,333
-1795,258,1744,-48,-1775,98
-2113,-48,0,168,-777,185
-1986,431,1160,119,0,-788
-2234,227,613,101,512,278
